Designator,Mid X,Mid Y,Rotation,Layer
BT1,51.37,-117.06,270.0,top
C1,92.46,-145.39,90.0,bottom
C2,115.32,-145.39,90.0,bottom
C3,64.52,-127.57,270.0,bottom
C4,78.47,-117.4,180.0,bottom
C5,91.21,-117.43,180.0,bottom
C6,100.08,-105.98,270.0,bottom
C7,92.46,-125.03,270.0,bottom
C8,68.29,-150.45,0.0,bottom
C9,58.93,-146.4,0.0,top
D1,41.62,-107.32,90.0,bottom
D2,41.62,-126.8,270.0,bottom
IC1,119.13,-109.81,90.0,top
IC2,111.51,-128.86,90.0,top
R1,121.67,-104.73,0.0,bottom
R2,114.05,-123.78,0.0,bottom
R3,64.37,-116.45,270.0,bottom
R4,61.37,-119.97,90.0,bottom
RN1,97.54,-131.4,180.0,bottom
S1,67.62,-106.98,180.0,bottom
U1,83.57,-145.37,270.0,top
U2,106.43,-145.37,270.0,top
U3,73.41,-127.59,90.0,top
U4,78.49,-109.81,180.0,top
U5,91.19,-109.81,180.0,top
